schema_version,run_id,agent_id,agent_version,request_index,marker_index,marker_name,source_type,is_counted,path,chars,tokens,preview
hibench.benchmark.v1,claude-code-2.1.109-hi,claude-code,2.1.109,2,3,statusline-setup,declaration,True,tools.0.description.subagent.1,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.109-hi,claude-code,2.1.109,2,4,Explore,declaration,True,tools.0.description.subagent.2,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.109-hi,claude-code,2.1.109,2,5,Plan,declaration,True,tools.0.description.subagent.3,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.109-hi,claude-code,2.1.109,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.109-hi,claude-code,2.1.109,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.110-hi,claude-code,2.1.110,2,1,subagent_1,text_mention,False,system.2.text,26510,5487,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.110-hi,claude-code,2.1.110,2,2,general-purpose,declaration,True,tools.0.description.subagent.0,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.110-hi,claude-code,2.1.110,2,3,statusline-setup,declaration,True,tools.0.description.subagent.1,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.110-hi,claude-code,2.1.110,2,4,Explore,declaration,True,tools.0.description.subagent.2,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.110-hi,claude-code,2.1.110,2,5,Plan,declaration,True,tools.0.description.subagent.3,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.110-hi,claude-code,2.1.110,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.110-hi,claude-code,2.1.110,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.111-hi,claude-code,2.1.111,2,1,subagent_1,text_mention,False,system.2.text,26061,5386,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.111-hi,claude-code,2.1.111,2,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.111-hi,claude-code,2.1.111,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.111-hi,claude-code,2.1.111,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.111-hi,claude-code,2.1.111,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.111-hi,claude-code,2.1.111,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.111-hi,claude-code,2.1.111,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.112-hi,claude-code,2.1.112,2,1,subagent_1,text_mention,False,system.2.text,26061,5386,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.112-hi,claude-code,2.1.112,2,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.112-hi,claude-code,2.1.112,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.112-hi,claude-code,2.1.112,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.112-hi,claude-code,2.1.112,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.112-hi,claude-code,2.1.112,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.112-hi,claude-code,2.1.112,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.113-hi,claude-code,2.1.113,2,1,subagent_1,text_mention,False,system.2.text,26061,5386,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.113-hi,claude-code,2.1.113,2,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.113-hi,claude-code,2.1.113,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.113-hi,claude-code,2.1.113,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.113-hi,claude-code,2.1.113,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.113-hi,claude-code,2.1.113,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.113-hi,claude-code,2.1.113,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.114-hi,claude-code,2.1.114,2,1,subagent_1,text_mention,False,system.2.text,26061,5386,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.114-hi,claude-code,2.1.114,2,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.114-hi,claude-code,2.1.114,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.114-hi,claude-code,2.1.114,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.114-hi,claude-code,2.1.114,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.114-hi,claude-code,2.1.114,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.114-hi,claude-code,2.1.114,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.116-hi,claude-code,2.1.116,2,1,subagent_1,text_mention,False,system.2.text,25929,5359,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.116-hi,claude-code,2.1.116,2,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.116-hi,claude-code,2.1.116,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.116-hi,claude-code,2.1.116,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.116-hi,claude-code,2.1.116,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.116-hi,claude-code,2.1.116,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.116-hi,claude-code,2.1.116,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.117-hi,claude-code,2.1.117,2,1,subagent_1,text_mention,False,system.2.text,25929,5359,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.117-hi,claude-code,2.1.117,2,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.117-hi,claude-code,2.1.117,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.117-hi,claude-code,2.1.117,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.117-hi,claude-code,2.1.117,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.117-hi,claude-code,2.1.117,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.117-hi,claude-code,2.1.117,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.118-hi,claude-code,2.1.118,1,1,subagent_1,text_mention,False,system.2.text,25929,5359,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.118-hi,claude-code,2.1.118,1,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.118-hi,claude-code,2.1.118,1,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.118-hi,claude-code,2.1.118,1,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.118-hi,claude-code,2.1.118,1,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.118-hi,claude-code,2.1.118,1,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.118-hi,claude-code,2.1.118,1,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.119-hi,claude-code,2.1.119,1,1,subagent_1,text_mention,False,system.2.text,25929,5359,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.119-hi,claude-code,2.1.119,1,2,Explore,declaration,True,tools.0.description.subagent.0,568,120,- Explore: Fast agent specialized for exploring codebases. Use this when you need to quickly find files by patterns (eg.
hibench.benchmark.v1,claude-code-2.1.119-hi,claude-code,2.1.119,1,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.119-hi,claude-code,2.1.119,1,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.119-hi,claude-code,2.1.119,1,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.119-hi,claude-code,2.1.119,1,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.119-hi,claude-code,2.1.119,1,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.120-hi,claude-code,2.1.120,2,1,subagent_1,text_mention,False,system.2.text,25949,5362,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.120-hi,claude-code,2.1.120,2,2,Explore,declaration,True,tools.0.description.subagent.0,689,147,"- Explore: Fast read-only search agent for locating code. Use it to find files by pattern (eg. ""src/components/**/*.tsx"""
hibench.benchmark.v1,claude-code-2.1.120-hi,claude-code,2.1.120,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.120-hi,claude-code,2.1.120,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.120-hi,claude-code,2.1.120,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.120-hi,claude-code,2.1.120,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.120-hi,claude-code,2.1.120,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.121-hi,claude-code,2.1.121,2,1,subagent_1,text_mention,False,system.2.text,25949,5362,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.121-hi,claude-code,2.1.121,2,2,Explore,declaration,True,tools.0.description.subagent.0,689,147,"- Explore: Fast read-only search agent for locating code. Use it to find files by pattern (eg. ""src/components/**/*.tsx"""
hibench.benchmark.v1,claude-code-2.1.121-hi,claude-code,2.1.121,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.121-hi,claude-code,2.1.121,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.121-hi,claude-code,2.1.121,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.121-hi,claude-code,2.1.121,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.121-hi,claude-code,2.1.121,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.122-hi,claude-code,2.1.122,2,1,subagent_1,text_mention,False,system.2.text,25949,5362,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.122-hi,claude-code,2.1.122,2,2,Explore,declaration,True,tools.0.description.subagent.0,689,147,"- Explore: Fast read-only search agent for locating code. Use it to find files by pattern (eg. ""src/components/**/*.tsx"""
hibench.benchmark.v1,claude-code-2.1.122-hi,claude-code,2.1.122,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.122-hi,claude-code,2.1.122,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.122-hi,claude-code,2.1.122,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.122-hi,claude-code,2.1.122,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.122-hi,claude-code,2.1.122,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.123-hi,claude-code,2.1.123,2,1,subagent_1,text_mention,False,system.2.text,25949,5362,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.123-hi,claude-code,2.1.123,2,2,Explore,declaration,True,tools.0.description.subagent.0,689,147,"- Explore: Fast read-only search agent for locating code. Use it to find files by pattern (eg. ""src/components/**/*.tsx"""
hibench.benchmark.v1,claude-code-2.1.123-hi,claude-code,2.1.123,2,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.123-hi,claude-code,2.1.123,2,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
hibench.benchmark.v1,claude-code-2.1.123-hi,claude-code,2.1.123,2,5,statusline-setup,declaration,True,tools.0.description.subagent.3,111,26,"- statusline-setup: Use this agent to configure the user's Claude Code status line setting. (Tools: Read, Edit)"
hibench.benchmark.v1,claude-code-2.1.123-hi,claude-code,2.1.123,2,6,Lookups,declaration,True,tools.0.description.subagent.4,143,29,- Lookups: hand over the exact command. Investigations: hand over the question — prescribed steps become dead weight whe
hibench.benchmark.v1,claude-code-2.1.123-hi,claude-code,2.1.123,2,7,subagent_7,text_mention,False,tools.17.description,1050,221,"DEPRECATED: Background tasks return their output file path in the tool result, and you receive a <task-notification> wit"
hibench.benchmark.v1,claude-code-2.1.124-hi,claude-code,2.1.124,3,1,subagent_1,text_mention,False,system.2.text,25949,5362,"
You are an interactive agent that helps users with software engineering tasks. Use the instructions below and the tools"
hibench.benchmark.v1,claude-code-2.1.124-hi,claude-code,2.1.124,3,2,Explore,declaration,True,tools.0.description.subagent.0,689,147,"- Explore: Fast read-only search agent for locating code. Use it to find files by pattern (eg. ""src/components/**/*.tsx"""
hibench.benchmark.v1,claude-code-2.1.124-hi,claude-code,2.1.124,3,3,general-purpose,declaration,True,tools.0.description.subagent.1,309,61,"- general-purpose: General-purpose agent for researching complex questions, searching for code, and executing multi-step"
hibench.benchmark.v1,claude-code-2.1.124-hi,claude-code,2.1.124,3,4,Plan,declaration,True,tools.0.description.subagent.2,307,60,- Plan: Software architect agent for designing implementation plans. Use this when you need to plan the implementation s
